id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29588602,Home in Cambridge · ★4.44 · 1 bedroom · 1 bed · 1 shared bath,51079261,Riverside,,North Cambridge,42.39443,-71.12657,Private room,,1,9,2019-10-26,0.14,23,0,0,10811
29789486,Home in Cambridge · ★4.64 · 1 bedroom · 1 bed · 2 baths,201911026,George,,The Port,42.37024,-71.09739,Private room,46,1,155,2023-11-15,2.49,7,22,43,
29854517,Home in Cambridge · 1 bedroom · 1 bed · 1 shared bath,197864304,Elicia,,The Port,42.36652,-71.10181,Private room,115,91,0,,,1,0,0,
29992024,Home in Cambridge · ★5.0 · 4 bedrooms · 4 beds · 2.5 baths,7372692,Eva,,Cambridge Highlands,42.3941,-71.1532,Entire home/apt,600,2,19,2023-08-05,0.31,1,87,4,
30035967,Loft in Cambridge · ★4.94 · 1 bedroom · 2 beds · 1 bath,19167089,Danielle & Joe,,East Cambridge,42.36853,-71.08233,Entire home/apt,198,2,178,2023-12-16,3.14,1,0,49,STR-32062
30080995,Home in Cambridge · ★4.55 · 1 bedroom · 1 bed · 1.5 baths,201911026,George,,Wellington-Harrington,42.37029,-71.09552,Private room,,1,201,2023-12-13,3.25,7,0,58,
30169164,Condo in Cambridge · ★4.97 · 2 bedrooms · 2 beds · 1 bath,11982406,Maggie,,Cambridgeport,42.36263,-71.11001,Entire home/apt,214,90,58,2023-12-20,0.94,2,116,3,C0226900491
30386484,Rental unit in Cambridge · Studio · 1 bed · 1 bath,107434423,Blueground,,Area 2/MIT,42.362881,-71.08784,Entire home/apt,237,32,1,2019-04-22,0.02,162,283,0,
30389876,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Area 2/MIT,42.362881,-71.08784,Entire home/apt,199,32,1,2019-02-23,0.02,162,198,0,
30389899,Rental unit in Cambridge · Studio · 1 bed · 1 bath,107434423,Blueground,,Area 2/MIT,42.36288,-71.08784,Entire home/apt,236,32,1,2021-04-12,0.03,162,184,0,
30389924,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Area 2/MIT,42.36288,-71.08784,Entire home/apt,246,32,0,,,162,186,0,
30390003,Rental unit in Cambridge · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,,Area 2/MIT,42.362881,-71.08784,Entire home/apt,301,32,2,2021-06-06,0.05,162,0,0,
30390533,Rental unit in Cambridge · Studio · 1 bed · 1 bath,107434423,Blueground,,Area 2/MIT,42.362881,-71.08784,Entire home/apt,174,32,1,2019-06-08,0.02,162,321,0,
30397057,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Area 2/MIT,42.362881,-71.08784,Entire home/apt,246,32,0,,,162,275,0,
30403097,Condo in Cambridge · ★4.91 · 1 bedroom · 2 beds · 1 bath,4119669,Vivia,,Wellington-Harrington,42.37305,-71.09279,Entire home/apt,146,2,89,2023-12-07,1.67,1,94,38,
30428472,Home in Cambridge · ★4.92 · 1 bedroom · 2 beds · 1 bath,66569066,Andrew & Marie,,Neighborhood Nine,42.387,-71.12251,Entire home/apt,220,2,192,2023-12-06,3.25,1,90,44,STR-48642
30441472,Rental unit in Cambridge · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,19788941,Jean Manuel,,The Port,42.36614,-71.09618,Private room,150,2,3,2022-03-26,0.08,6,361,0,
30489683,Rental unit in Cambridge · Studio · 1 bed · 1 bath,107434423,Blueground,,Area 2/MIT,42.362881,-71.08784,Entire home/apt,174,32,0,,,162,349,0,
30567500,Rental unit in Cambridge · ★4.85 · 1 bedroom · 1 bed · 1 bath,9365589,J G,,North Cambridge,42.39031,-71.12574,Entire home/apt,120,31,143,2023-12-10,2.40,2,35,18,
30594732,Home in Cambridge · ★4.28 · 1 bedroom · 1 bed · 2 shared baths,229497500,Yudong,,East Cambridge,42.36863,-71.08076,Private room,35,30,86,2023-12-15,1.41,23,269,5,
30686042,Rental unit in Cambridge · ★4.36 · 1 bedroom · 1 bed · 1 shared bath,19788941,Jean Manuel,,The Port,42.36589,-71.09646,Private room,62,91,11,2023-09-02,0.18,6,178,1,C9737785510
30696669,Home in Cambridge · ★4.54 · 1 bedroom · 1 bed · 2 shared baths,229497500,Yudong,,East Cambridge,42.37021,-71.08272,Private room,46,30,84,2023-08-01,1.37,23,269,2,
30696841,Home in Cambridge · ★4.22 · 1 bedroom · 1 bed · 2 shared baths,229497500,Yudong,,East Cambridge,42.36997403558854,-71.08055769249587,Private room,45,30,58,2023-10-02,0.95,23,269,4,STR-18954
30697014,Home in Cambridge · ★4.57 · 1 bedroom · 1 bed · 2 shared baths,229497500,Yudong,,East Cambridge,42.37014627101978,-71.08251086041112,Private room,55,30,96,2023-07-01,1.57,23,269,4,
30788187,Rental unit in Cambridge · ★4.95 · 1 bedroom · 2 beds · 1 bath,45224133,Clare,,Agassiz,42.38069,-71.11865,Entire home/apt,89,91,20,2019-12-14,0.33,4,90,0,
